Name,,,,,,start_time,end_time,content
Trump,44:03:00,0:44:03,2643,4108,4170,4036,4098,"And by the way, there was unity going to happen. People were calling me for the first time in years, they were calling and they were saying it’s time maybe and then what happened? We got hit. But now we’re building it back up again. A rebuilding of the military, including Space Force and all of the other things. A fixing of the VA which was a mess under him, 308,000 people died because they didn’t have proper health care. It was a mess. And we now got a 91% approval rating at the VA, our vets. We take care of our vets. But we’ve rebuilt our military. And I’ll tell you something, some people say maybe the most important by the end of the first term I’ll have approximately 300 Federal judges and Court of Appeals judges, 300 and hopefully three great Supreme Court judges, justices that is a record the likes of which very few people and one of the reasons I’ll have so many judges because President Obama and him left me 128 judges to fill."
Trump,45:05:00,0:45:05,2705,4170,4199,4098,4127,"When you leave office, you don’t leave any judges. That’s like, you just don’t do that. They left 128 openings and if I were a member of his party, because they have a little different philosophy, I’d say, if you left us 128 openings you can’t be a good president. You can’t be a good vice president but I want to thank you because it gives us almost, it’ll probably be above that number. By the end of this term, 300 judges. It’s a record."
Wallace: ,45:34:00,0:45:34,2734,4199,4207,4127,4135,"Looking at both of your records. Why should voters elect you President as opposed to president Trump, you have two minutes uninterrupted."
Biden,45:42:00,0:45:42,2742,4207,4239,4135,4167,"Under this president, we become weaker, sicker, poor, more divided and more violent. When I was vice president, we inherited a recession. I was asked to fix it. I did. We left him a booming economy and he caused the recession. With regard to being weaker, the fact is that I’ve gone head to head with Putin and made it clear to him we’re not going to take any of his stuff. He’s Putin’s puppy. He still refuses to even say anything to Putin about the bounty on the heads of American soldiers."
Trump,46:14:00,0:46:14,2774,4239,4242,4167,4170,You son got three and a half million dollars.
Biden,46:17:00,0:46:17,2777,4242,4244,4170,4172,"By the way, my son…"
Wallace: ,46:19:00,0:46:19,2779,4244,4258,4172,4186,"Wait a minute. Mr. President, your campaign agreed to both sides would get two minute answers, uninterrupted. Well, you’re a side agreed to it and why don’t you observe what your campaign agreed to as a ground rule. Okay, sir?"
Biden,46:33:00,0:46:33,2793,4258,4259,4186,4187,He never keeps his word.
Wallace: ,46:34:00,0:46:34,2794,4259,4262,4187,4190,"No, that was a rhetorical question."
Biden,46:37:00,0:46:37,2797,4262,4264,4190,4192,Can you get back 30 seconds?
Wallace: ,46:39:00,0:46:39,2799,4264,4267,4192,4195,"Yes. You may have, go ahead."
Biden,46:42:00,0:46:42,2802,4267,4324,4195,4252,"So thirdly, we’re poor. The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID. You in the home, you got less you’re in more trouble than you were before. In terms of being more violent. When we were in office there were 15% less violence in America than there is today. He’s President United States. It’s on his watch. And with regard to more divided the nation, it can’t stay divided. We can’t be this way. And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers. My son was in Iraq. He spent a year there. He got the Brown Star. He got the Conspicuous Service Medal. He was not a loser. He was a Patriot and the people left behind there were heroes."
Trump,47:39:00,0:47:39,2859,4324,4324,4252,4252,Really?
Biden,47:39:00,0:47:39,2859,4324,4325,4252,4253,And I resent-
Trump,47:40:00,0:47:40,2860,4325,4327,4253,4255,"Are you talking Hunter, are you talking about Hunter."
Biden,47:42:00,0:47:42,2862,4327,4329,4255,4257,"I’m talking about my son, Beau Biden, you’re talking about Hunter?"
Trump,47:44:00,0:47:44,2864,4329,4336,4257,4264,I don’t know Beau. I know Hunter. Hunter got thrown out of the military. He was thrown out dishonorably discharged.
Biden,47:51:00,0:47:51,2871,4336,4338,4264,4266,That’s not true he was not dishonorably discharged.
Trump,47:53:00,0:47:53,2873,4338,4341,4266,4269,For cocaine use. And he didn’t have a job until you became vice president.
Biden,47:56:00,0:47:56,2876,4341,4341,4269,4269,None of that is true.
Trump,47:56:00,0:47:56,2876,4341,4346,4269,4274,"Once you became vice president he made a fortune in Ukraine, in China, in Moscow and various other places."
Biden,48:01:00,0:48:01,2881,4346,4349,4274,4277,That is not true.
Trump,48:04:00,0:48:04,2884,4349,4352,4277,4280,He made a fortune and he didn’t have a job.
Biden,48:07:00,0:48:07,2887,4352,4362,4280,4290,"My son like a lot of people at home had a drug problem. He’s overtaking it. He’s fixed it. He’s worked on it. And I’m proud of him, I’m proud of my son."
Trump,48:17:00,0:48:17,2897,4362,4364,4290,4292,But why was he given tens of millions of dollars?
Biden,48:19:00,0:48:19,2899,4364,4372,4292,4300,He wasn’t given tens of millions of dollars. [crosstalk 00:48:23] It was all discredited.
Wallace: ,48:27:00,0:48:27,2907,4372,4380,4300,4308,"We’ve already been through this. I think the American people would rather hear about more substantial subjects. Well, as the moderator, sir, I’m going to make a judgment call here."
Trump,48:35:00,0:48:35,2915,4380,4384,4308,4312,I know but when somebody gets three and a half million dollars from the Mayor of Moscow.
Biden,48:39:00,0:48:39,2919,4384,4388,4312,4316,That is not true. That report is totally discredited.
Trump,48:43:00,0:48:43,2923,4388,4390,4316,4318,Why did he get it?
Biden,48:45:00,0:48:45,2925,4390,4395,4318,4323,Mitt Romney on that committee said it wasn’t worth taxpayer’s money. That report was written for political reason.
Wallace: ,48:50:00,0:48:50,2930,4395,4397,4323,4325,I’d like to talk about climate change.
Biden,48:52:00,0:48:52,2932,4397,4398,4325,4326,So would I.
Wallace: ,48:53:00,0:48:53,2933,4398,4432,4326,4360,"Okay. The forest fires in the West are raging now. They have burned millions of acres. They have displaced hundreds of thousands of people. When state officials there blamed the fires on climate change. Mr. President, you said, I don’t think the science knows. Over your four years, you have pulled the US out of the Paris Climate Accord. You have rolled back a number of Obama Environmental records, what do you believe about the science of climate change and what will you do in the next four years to confront it?"
Trump,49:27:00,0:49:27,2967,4432,4474,4360,4402,"I want crystal clean water and air. I want beautiful clean air. We have now the lowest carbon… If you look at our numbers right now, we are doing phenomenally. But I haven’t destroyed our businesses. Our businesses aren’t put out of commission. If you look at the Paris Accord, it was a disaster from our standpoint. And people are actually very happy about what’s going on because our businesses are doing well. As far as the fires are concerned, you need forest management. In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they’re like tinder and leaves and everything else. You drop a cigarette in there the whole forest burns down. You’ve got to have forest management."
Wallace: ,50:09:00,0:50:09,3009,4474,4478,4402,4406,"What do you believe about the science of climate change, sir?"
Trump,50:13:00,0:50:13,3013,4478,4490,4406,4418,"I believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that’s good. We’re planting a billion trees, the Billion Tree Project and it’s very exciting for a lot of people."
Wallace: ,50:25:00,0:50:25,3025,4490,4497,4418,4425,"You believe that human pollution, gas, greenhouse gas emissions contributes to the global warming of this planet."
Trump,50:32:00,0:50:32,3032,4497,4550,4425,4478,"I think a lot of things do, but I think to an extent, yes. I think to an extent, yes, but I also think we have to do better management of our forest. Every year I get the call. California’s burning, California’s burning. If that was cleaned, if that were, if you had forest management, good forest management, you wouldn’t be getting those calls. In Europe, they live they’re forest cities. They call forest cities. They maintain their forest. They manage their forest. I was with the head of a major country, it’s a forest city. He said, “Sir, we have trees that are far more, they ignite much easier than California. There shouldn’t be that problem.” I spoke with the Governor about it. I’m getting along very well with the governor. But I said, “At some point you can’t every year have hundreds of thousands of acres of land just burned to the ground.” That’s burning down because of a lack of management."
Wallace: ,51:25:00,0:51:25,3085,4550,4560,4478,4488,"But sir if you believe in the science of climate change, why have you rolled back the Obama Clean Power Plan which limited carbon emissions and power plants? Why have you relaxed…?"
Trump,51:35:00,0:51:35,3095,4560,4563,4488,4491,Because it was driving energy prices through the sky.
Biden,51:38:00,0:51:38,3098,4563,4569,4491,4497,Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?
Trump,51:44:00,0:51:44,3104,4569,4591,4497,4519,"Well, not really because what’s happening is the car is much less expensive and it’s a much safer car and you talk it about a tiny difference. And then what would happen because of the cost of the car you would have at least double and triple the number of cars purchased. We have the old slugs out there that are 10, 12 years old. If you did that, the car would be safer. It would be much cheaper by $3,500."
Wallace: ,52:06:00,0:52:06,3126,4591,4593,4519,4521,But in the case of California they have simply ignored that.
Trump,52:08:00,0:52:08,3128,4593,4619,4521,4547,"No, but you would take a lot of cars off the market because people would be able to afford a car. Now, by the way, we’re going to see how that turns out. But a lot of people agree with me, many people. The car has gotten so expensive because they have computers all over the place for an extra little bit of gasoline. And I’m okay with electric cars too. I think I’m all for electric cars. I’ve given big incentives for electric cars but what they’ve done in California is just crazy."
Wallace: ,52:34:00,0:52:34,3154,4619,4648,4547,4576,"All right, Vice president Biden. I’d like you to respond to the president’s climate change record but I also want to ask you about a concern. You propose $2 trillion in green jobs. You talk about new limits, not abolishing, but new limits on fracking. Ending the use of fossil fuels to generate electricity by 2035 and zero none admission of greenhouse gases by 2050. The president says a lot of these things would tank the economy and cost millions of jobs."
Biden,53:03:00,0:53:03,3183,4648,4708,4576,4636,"He’s absolutely wrong, number one. Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil. Nobody’s going to build another coal fired plant in America. No one’s going to build another oil fire plant in America. They’re going to move to renewable energy. Number one, number two, we’re going to make sure that we are able to take the federal fleet and turn it into a fleet that’s run on their electric vehicles. Making sure that we can do that, we’re going to put 500,000 charging stations in all of the highways that we’re going to be building in the future. We’re going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they’ll emit significantly less gas and oil because the heat will not be going out. There’s so many things that we can do…"
Biden,54:03:00,0:54:03,3243,4708,4776,4636,4704,"Gas and oil because the heat will not be going out. There’s so many things that we can do now to create thousands and thousands of jobs. We can get to net zero, in terms of energy production, by 2035. Not only not costing people jobs, creating jobs, creating millions of good-paying jobs. Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green. And the first thing I will do, I will rejoin the Paris Accord. I will join the Paris Accord because with us out of it, look what’s happening. It’s all falling apart. And talk about someone who has no relationship with foreign policy. The rainforests of Brazil are being torn down, are being ripped down. More carbon is absorbed in that rainforest than every bit of carbon that’s emitted in the United States. Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, “Here’s $20 billion. Stop tearing down the forest. And If you don’t, then you’re going to have significant economic consequences.”"
Wallace: ,55:11:00,0:55:11,3311,4776,4786,4704,4714,"What about the argument that President Trump basically says, that you have to balance environmental interests and economic interests? And he’s drawn his line."
Biden,55:21:00,0:55:21,3321,4786,4804,4714,4732,"Well, he hasn’t drawn a line. He wants to make sure that methane’s not a problem. You can now emit more methane without it being a problem. Methane. This is a guy who says that you don’t have to have mileage standards for automobiles that exist now. This is the guy who says that, the fact that-"
Trump,55:39:00,0:55:39,3339,4804,4805,4732,4733,Not true. Not true-
Biden,55:40:00,0:55:40,3340,4805,4807,4733,4735,It’s all true. And here’s the deal-
Trump,55:42:00,0:55:42,3342,4807,4814,4735,4742,"He’s talking about the Green New Deal. And it’s not 2 billion [crosstalk 00:55:45] or 20 billion, as you said [crosstalk 00:55:46]. It’s $100 trillion."
Biden,55:49:00,0:55:49,3349,4814,4815,4742,4743,I’m talking about the Biden plan [crosstalk 00:55:51]-
Wallace: ,55:50:00,0:55:50,3350,4815,4817,4743,4745,"Let him go for a minute, and then you can go."
Trump,55:52:00,0:55:52,3352,4817,4818,4745,4746,And rebuild the building.
Biden,55:53:00,0:55:53,3353,4818,4818,4746,4746,No.
Trump,55:53:00,0:55:53,3353,4818,4819,4746,4747,It’s the dumbest-
Biden,55:54:00,0:55:54,3354,4819,4819,4747,4747,That is not-
Trump,55:54:00,0:55:54,3354,4819,4824,4747,4752,… most ridiculous [crosstalk 00:55:56] where two car systems are out-
Biden,55:59:00,0:55:59,3359,4824,4825,4752,4753,Not true-
Trump,56:00:00,0:56:00,3360,4825,4826,4753,4754,… where they want to take out the cows too.
Biden,56:01:00,0:56:01,3361,4826,4826,4754,4754,Not true.
Trump,56:01:00,0:56:01,3361,4826,4828,4754,4756,"That’s not true either, right?"
Biden,56:03:00,0:56:03,3363,4828,4829,4756,4757,Not true.
Trump,56:04:00,0:56:04,3364,4829,4831,4757,4759,This is a 100 trillion-
Biden,56:06:00,0:56:06,3366,4831,4831,4759,4759,Simply… Look-
Trump,56:06:00,0:56:06,3366,4831,4834,4759,4762,That’s more money than our country could make in 100 years [crosstalk 00:02:10]-
Biden,56:09:00,0:56:09,3369,4834,4839,4762,4767,That is simply not the case-
Wallace: ,56:14:00,0:56:14,3374,4839,4863,4767,4791,"All right. Let me [crosstalk 00:02:12]. Wait a minute, sir. I actually have studied your plan, and it includes upgrading 4 million buildings, weatherizing 2 million homes over four years, building one and a half million energy efficient homes. So the question becomes, the president is saying, I think some people who support the president would say, that sounds like it’s going to cost a lot of money and hurt the economy."
Biden,56:38:00,0:56:38,3398,4863,4867,4791,4795,"What it’s going to do, it’s going to create thousands and millions of jobs. Good paying jobs [crosstalk 00:02:41]."
Wallace: ,56:42:00,0:56:42,3402,4867,4868,4795,4796,"Let him finish, sir."
Biden,56:43:00,0:56:43,3403,4868,4870,4796,4798,He doesn’t know how to do that-
Trump,56:45:00,0:56:45,3405,4870,4871,4798,4799,100 million dollars.
Biden,56:46:00,0:56:46,3406,4871,4890,4799,4818,"The fact is, it’s going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of. It’s going to make the economy much safer. Look how much we’re paying now to deal with the hurricanes, deal with… By the way, he has an answer for hurricanes. He said, maybe we should drop a nuclear weapon on them, and they may-"
Trump,57:05:00,0:57:05,3425,4890,4891,4818,4819,I never said that at all-
Biden,57:06:00,0:57:06,3426,4891,4891,4819,4819,"Yeah, he did say that-"
Trump,57:06:00,0:57:06,3426,4891,4893,4819,4821,They made it up.
Biden,57:08:00,0:57:08,3428,4893,4894,4821,4822,And here’s the deal-
Trump,57:09:00,0:57:09,3429,4894,4895,4822,4823,You make up a lot-
Biden,57:10:00,0:57:10,3430,4895,4937,4823,4865,"… we’re going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape. We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas. We’re in real trouble. Look what’s happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa. They didn’t happen before. They’re because of global warming. We make up 15% of the world’s problem. But the rest of the world, we’ve got to get them to come along. That’s why we have to get back into the Paris Accord."
Wallace: ,57:52:00,0:57:52,3472,4937,4937,4865,4865,"All right, gentlemen-"
Trump,57:52:00,0:57:52,3472,4937,4941,4865,4869,"Wait a minute, Chris. So why didn’t he do it for 47 years? You were vice president-"
Biden,57:56:00,0:57:56,3476,4941,4941,4869,4869,For 47-
Trump,57:56:00,0:57:56,3476,4941,4953,4869,4881,"So why didn’t you get the world… China sends up real dirt into the air. Russia does. India does. They all do. We’re supposed to be good. And by the way, he made a couple of statements. The Green New Deal is a hundred trillion dollars."
Biden,58:08:00,0:58:08,3488,4953,4960,4881,4888,That is not my plan [crosstalk 00:58:10]. The Green New Deal [crosstalk 00:58:14] is not my plan. [crosstalk 00:58:15]-
Wallace: ,58:15:00,0:58:15,3495,4960,4961,4888,4889,Gentlemen-
Trump,58:16:00,0:58:16,3496,4961,4968,4889,4896,"He made a statement about the military. He said I said something about the military. He and his friends made it up, and then they went with it. I never said it."
Wallace: ,58:23:00,0:58:23,3503,4968,4973,4896,4901,Okay. [crosstalk 00:58:24] Mr. Vice President-
Trump,58:28:00,0:58:28,3508,4973,4973,4901,4901,He called the military stupid bastards.
Biden,58:28:00,0:58:28,3508,4973,4976,4901,4904,I did not say that-
Trump,58:31:00,0:58:31,3511,4976,4976,4904,4904,He said it on tape. [crosstalk 00:58:32]-
Wallace: ,58:31:00,0:58:31,3511,4976,4979,4904,4907,"Please, sir. [crosstalk 00:58:33] Stop."
Trump,58:34:00,0:58:34,3514,4979,4980,4907,4908,I would never say that [crosstalk 00:58:35]-
Biden,58:35:00,0:58:35,3515,4980,4981,4908,4909,Play it. Play it-
Wallace: ,58:36:00,0:58:36,3516,4981,4982,4909,4910,Stop. Go ahead-
Trump,58:37:00,0:58:37,3517,4982,4983,4910,4911,You’re on tape-
Wallace: ,58:38:00,0:58:38,3518,4983,4986,4911,4914,Mr. Vice President answered his final question.
Biden,58:41:00,0:58:41,3521,4986,4989,4914,4917,"The final question is, I can’t remember which of all his rantings [crosstalk 00:04:44]."
Wallace: ,58:44:00,0:58:44,3524,4989,4992,4917,4920,"I’m having a little trouble myself, but…"
Biden,58:47:00,0:58:47,3527,4992,4993,4920,4921,Yeah.
Wallace: ,58:48:00,0:58:48,3528,4993,4997,4921,4925,And about the economy and about this question of what it’s going to cost.
Biden,58:52:00,0:58:52,3532,4997,4998,4925,4926,The economy-
Wallace: ,58:53:00,0:58:53,3533,4998,5002,4926,4930,The Green New Deal and the idea of what your environmental changes will do-
Biden,58:57:00,0:58:57,3537,5002,5010,4930,4938,"The Green New Deal will pay for itself as we move forward. We’re not going to build plants that, in fact, are great polluting plants-"
Wallace: ,59:05:00,0:59:05,3545,5010,5012,4938,4940,"So, do you support the Green New Deal?"
Biden,59:07:00,0:59:07,3547,5012,5013,4940,4941,Pardon me?
Wallace: ,59:08:00,0:59:08,3548,5013,5013,4941,4941,Do you support the-
Biden,59:08:00,0:59:08,3548,5013,5015,4941,4943,"No, I don’t support the Green New Deal."
Trump,59:10:00,0:59:10,3550,5015,5017,4943,4945,"Oh, you don’t? Oh, well, that’s a big statement."
Biden,59:12:00,0:59:12,3552,5017,5018,4945,4946,I support [crosstalk 00:05:13]-
Trump,59:13:00,0:59:13,3553,5018,5020,4946,4948,You just lost the radical left.
Biden,59:15:00,0:59:15,3555,5020,5024,4948,4952,I support [crosstalk 00:59:17] the Biden plan that I put forward.
Wallace: ,59:19:00,0:59:19,3559,5024,5024,4952,4952,Okay.
Biden,59:19:00,0:59:19,3559,5024,5029,4952,4957,"The Biden plan, which is different than what he calls the radical Green New Deal."
Wallace: ,59:24:00,0:59:24,3564,5029,5067,4957,4995,"All right, gentlemen, final segment, election integrity. As we meet tonight, millions of Americans are receiving mail-in ballots or going to vote early. How confident should we be that this will be a fair election, and what are you prepared to do over the next five plus weeks? Because it will not only be to election day, but also counting some mail-in ballots after election day. What are you prepared to do to reassure the American people that the next president will be the legitimate winner of this election. In this final segment, Mr. Vice President, you go first."
Biden,1:00:02,1:00:02,3602,5067,5120,4995,5048,"Prepare to let people vote. They should go to iwillvote.com, decide how they’re going to vote, when they’re going to vote, and what means by which they’re going to vote. His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating. They said that. The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way. He sits behind the Resolute Desk and sends his ballot to Florida, number one. Number two, we’re going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance. The polls are open on time, and the polls stay open until the votes are counted. And this is all about trying to dissuade people from voting because he’s trying to scare people into thinking that it’s not going to be legitimate."
Biden,1:00:55,1:00:55,3655,5120,5177,5048,5105,"Show up and vote. You will determine the outcome of this election. Vote, vote, vote. If you’re able to vote early in your state, vote early. If you’re able to vote in person, vote in person. Vote whatever way is the best way for you, because you will… He cannot stop you from being able to determine the outcome of this election. And in terms of whether or not… When the votes are counted and they’re all counted, that will be accepted. If I win, that will be accepted. If I lose, that’ll be accepted. But by the way, if in fact he says, he’s not sure what he’s going to accept. Well, let me tell you something, it doesn’t matter, because if we get the votes, it’s going to be all over. He’s going to go. He can’t stay in power. It won’t happen. It won’t happen, so vote. Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years. Is it going to change, or are you going to get four more years of these lies?"
Wallace: ,1:01:52,1:01:52,3712,5177,5178,5105,5106,"Mr. President, two minutes."
Trump,1:01:53,1:01:53,3713,5178,5220,5106,5148,"So when I listen to Joe talking about a transition, there has been no transition from when I won. I won that election. And if you look at crooked Hillary Clinton, if you look at all of the different people, there was no transition, because they came after me trying to do a coup. They came after me spying on my campaign. They started from the day I won, and even before I won. From the day I came down the escalator with our first lady, they were a disaster. They were a disgrace to our country, and we’ve caught them. We’ve caught them all. We’ve got it all on tape. We’ve caught them all. And by the way, you gave the idea for the Logan Act against General Flynn. You better take a look at that, because we caught you in a sense, and President Obama was sitting in the office."
Trump,1:02:35,1:02:35,3755,5220,5267,5148,5195,"He knew about it too. So don’t tell me about a free transition. As far as the ballots are concerned, it’s a disaster. A solicited ballot, okay, solicited, is okay. You’re soliciting. You’re asking. They send it back. You send it back. I did that. If you have an unsolicited… They’re sending millions of ballots all over the country. There’s fraud. They found them in creeks. They found some, just happened to have the name Trump just the other day in a wastepaper basket. They’re being sent all over the place. They sent two in a Democrat area. They sent out a thousand ballots. Everybody got two ballots. This is going to be a fraud like you’ve never seen. The other thing, it’s nice. On November 3rd, you’re watching, and you see who won the election. And I think we’re going to do well because people are really happy with the job we’ve done."
Trump,1:03:22,1:03:22,3802,5267,5303,5195,5231,"But you know what? We won’t know. We might not know for months because these ballots are going to be all over. Take a look at what happened in Manhattan. Take a look at what happened in New Jersey. Take a look at what happened in Virginia and other places. They’re not losing 2%, 1%, which by the way is too much. An election could be won or lost with that. They’re losing 30 and 40%. It’s a fraud, and it’s a shame. And can you imagine where they say, “You have to have your ballot in by November 10th.” November 10th. That’s seven days after the election, in theory, should have been announced. We have major states [crosstalk 01:03:58] with that-"
Wallace: ,1:03:58,1:03:58,3838,5303,5303,5231,5231,Sir.
Trump,1:03:58,1:03:58,3838,5303,5304,5231,5232,… all run by Democrats-
Wallace: ,1:03:59,1:03:59,3839,5304,5305,5232,5233,Two minutes is two minutes.
Trump,1:04:00,1:04:00,3840,5305,5307,5233,5235,All run by Democrats.
Wallace: ,1:04:02,1:04:02,3842,5307,5307,5235,5235,President Trump-
Trump,1:04:02,1:04:02,3842,5307,5309,5235,5237,It’s a rigged election.
Wallace: ,1:04:04,1:04:04,3844,5309,5343,5237,5271,"You’re going to be able to continue. You have been charging for months that mail-in balloting is going to be a disaster. You say it’s rigged [crosstalk 00:01:04:11], that it’s going to lead to fraud. But in 2018, in the last midterm election, 31 million people voted mail-in voting. That was more than a quarter of all the voters that year, cast their ballots by mail. Now that millions of mail-in ballots have gone out, what are you going to do about it? And are you counting on the Supreme Court, including a Justice Barrett, to settle any dispute?"
Trump,1:04:38,1:04:38,3878,5343,5364,5271,5292,"Yeah. I think I’m counting on them to look at the ballots, definitely. I hope we don’t need them, in terms of the election itself. But for the ballots, I think so, because what’s happening is incredible. I read today where at least 1% of the ballots for 2016 were invalidated. They take them. We don’t like them. We don’t like them. They throw them out-"
Wallace: ,1:04:59,1:04:59,3899,5364,5364,5292,5292,But what are you going to do about it-
Trump,1:04:59,1:04:59,3899,5364,5365,5292,5293,… left and right.
Wallace: ,1:05:00,1:05:00,3900,5365,5367,5293,5295,There are millions of ballots going out right now. What are you going to do-
Trump,1:05:02,1:05:02,3902,5367,5370,5295,5298,"What you do is you go and vote. You do a solicited ballot, and that’s okay-"
Wallace: ,1:05:05,1:05:05,3905,5370,5373,5298,5301,No. No. I know your complaint [crosstalk 01:05:05]. I’m asking you about the fact that millions of people have received-
Trump,1:05:08,1:05:08,3908,5373,5376,5301,5304,You go and vote. You go and vote-
Wallace: ,1:05:11,1:05:11,3911,5376,5379,5304,5307,"No. But what I’m saying is [crosstalk 01:05:11], what are you going to do about the fact that millions of people-"
Trump,1:05:14,1:05:14,3914,5379,5395,5307,5323,"You either do, Chris, a solicited ballot, where you’re sending it in, they’re sending it back and you’re sending. They have mailmen with lots of it. Did you see what’s going on? Take a look at West Virginia, mailman selling the ballots. They’re being sold. They’re being dumped in rivers. This is a horrible thing for our country."
Biden,1:05:30,1:05:30,3930,5395,5398,5323,5326,There is no [crosstalk 01:05:32]… There is no evidence of that-
Trump,1:05:33,1:05:33,3933,5398,5399,5326,5327,This is not going to end well.
Biden,1:05:34,1:05:34,3934,5399,5399,5327,5327,There is no evidence of that-
Trump,1:05:34,1:05:34,3934,5399,5402,5327,5330,This is not going to end well-
Wallace: ,1:05:37,1:05:37,3937,5402,5402,5330,5330,"Okay. Vice President Biden, in fact, go ahead, sir-"
Biden,1:05:37,1:05:37,3937,5402,5428,5330,5356,"Five states have had mail-in ballots for the last decade or more. Five, including two Republican states. And you don’t have to solicit the ballot. It’s sent to you. It’s sent to your home. What they’re saying is that it has to be a postmark by election day. If it doesn’t get in until the seventh, eighth, ninth, it still should be counted. He’s just afraid of counting the votes-"
Trump,1:06:03,1:06:03,3963,5428,5430,5356,5358,You’re wrong. You’re wrong [crosstalk 01:06:04]. I love counting the votes [crosstalk 01:06:05]-
Wallace: ,1:06:05,1:06:05,3965,5430,5432,5358,5360,I want to continue with you on this [crosstalk 01:06:06] Vice President Biden-
Trump,1:06:07,1:06:07,3967,5432,5434,5360,5362,"Chris, he’s so wrong when he makes a statement like that-"
Wallace: ,1:06:09,1:06:09,3969,5434,5461,5362,5389,"No. Excuse me. Vice President Biden, the biggest problem, in fact, over the years with mail-in voting has not been fraud, historically. It has been that sizable numbers, sometimes hundreds of thousands of ballots are thrown out because they have not been properly filled out, or there is some other irregularity, or they missed [crosstalk 01:06:28] the deadline. So the question I have is, are you concerned that the Supreme Court with a Justice Barrett will settle any dispute?"
Biden,1:06:36,1:06:36,3996,5461,5494,5389,5422,"I am concerned that any court would settle this, because here’s the deal. When you get a ballot and you fill it out, you’re supposed to have an affidavit. If you didn’t know, you have someone say that, this is me. You should be able to, if in fact you can verify that’s you before the ballot is thrown out, that’s sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I. Who they voted for, testify, say who they voted for, say it’s you. That is totally legitimate."
Wallace: ,1:07:09,1:07:09,4029,5494,5495,5422,5423,All right.
Trump,1:07:10,1:07:10,4030,5495,5497,5423,5425,Excuse me [crosstalk 01:07:11]-
Wallace: ,1:07:12,1:07:12,4032,5497,5500,5425,5428,"No. No. No. I have a final [crosstalk 00:13:12]. Gentlemen, I have a final question [crosstalk 01:07:14]-"
Trump,1:07:15,1:07:15,4035,5500,5504,5428,5432,"You know it can’t be done. You know it can’t, and already, there’s been fraud [crosstalk 01:07:19]-"
Biden,1:07:19,1:07:19,4039,5504,5509,5432,5437,Mail service delivers [crosstalk 01:07:21] 185 million pieces of mail a day [crosstalk 01:07:24]-
Wallace: ,1:07:24,1:07:24,4044,5509,5535,5437,5463,"We can keep talking. In eight states, [crosstalk 01:07:27] election workers are prohibited, currently by law, eight states, from even beginning to process ballots, even take them out of the envelopes and flatten them until election day. That means that it’s likely, because there’s going to be a huge increase in mail-in balloting, that we are not going to know on election night who the winner is, that it could be days. It could be weeks-"
Trump,1:07:50,1:07:50,4070,5535,5535,5463,5463,Could be months-
Wallace: ,1:07:50,1:07:50,4070,5535,5561,5463,5489,"… until we find out who the new president is. First for you, sir. Finally, for the vice president, and I hope neither of you will interrupt the other. Will you urge your supporters to stay calm during this extended period, not to engage in any civil unrest? And will you pledge tonight that you will not declare victory until the election has been independently certified? President Trump, you go first-"
Trump,1:08:16,1:08:16,4096,5561,5589,5489,5517,"I’m urging my supporters to go in to the polls and watch very carefully, because that’s what has to happen. I am urging them to do it. As you know, today there was a big problem. In Philadelphia, they went in to watch. They’re called poll watchers, a very safe, very nice thing. They were thrown out. They weren’t allowed to watch. You know why? Because bad things happen in Philadelphia. Bad things. And I am urging my people. I hope it’s going to be a fair election. If it’s a fair election-"
Wallace: ,1:08:44,1:08:44,4124,5589,5590,5517,5518,You’re urging them what?
Trump,1:08:45,1:08:45,4125,5590,5598,5518,5526,"… I am 100% on board. But if I see tens of thousands of ballots being manipulated, I can’t go along with that. And I’ll tell you why-"
Wallace: ,1:08:53,1:08:53,4133,5598,5598,5526,5526,"What does that mean, not go along-"
Trump,1:08:53,1:08:53,4133,5598,5599,5526,5527,… from a common sense-
Wallace: ,1:08:54,1:08:54,4134,5599,5600,5527,5528,Does that mean you’re going to tell your people-
Trump,1:08:55,1:08:55,4135,5600,5600,5528,5528,I’ll tell you what it means-
